No,MatchID,Date,Patch,EventID,EventName,EventStage,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
1471,41985,2021-09-06 08:00:00,,685,AMD Valorant Adrenalin Season 3,Main Event: Upper Bracket Quarterfinals,1700,5963,XcN Gaming,Langit9,2,1
1473,41983,2021-09-06 04:00:00,,685,AMD Valorant Adrenalin Season 3,Main Event: Upper Bracket Quarterfinals,878,5960,Rex Regum Qeon,BEAST,2,1
1474,41982,2021-09-06 02:00:00,,685,AMD Valorant Adrenalin Season 3,Main Event: Upper Bracket Quarterfinals,2032,6291,ONIC G,Dewa United Esports V3,2,1
1475,35262,2021-09-05 13:05:00,Patch 3.04,650,LVP Rising Series #3,Playoffs: Quarterfinals,2593,2755,Fnatic,SAW,2,1
1476,35995,2021-09-05 10:30:00,Patch 3.04,667,TGH x Birds of Prey: Episode 2,Main Event: Grand Final,5467,6024,Oxxgen Esports,TENSTAR Nova,2,0
1477,34630,2021-09-05 09:30:00,Patch 3.03,656,Yuvin Valorant Invitational Cup,Main Event: Grand Finals,6003,4829,Team XO,Team Valor,2,3
1478,35482,2021-09-05 08:15:00,Patch 3.04,651,FGC Valorant Invitational,Main Event: Lower Bracket Final,908,1211,Tales of Eastern,Totoro Gaming,2,1
1479,34629,2021-09-05 05:45:00,Patch 3.03,656,Yuvin Valorant Invitational Cup,Main Event: Bronze Match,2917,6028,Enigma Gaming,Team Cohesion,2,0
1481,35914,2021-09-04 17:00:00,Patch 3.04,665,PlayerzZone $2K Invitational Presented By GLG,Playoffs: Round of 16,6007,6202,Serenity Black,UYU,2,1
1482,35911,2021-09-04 16:30:00,Patch 3.04,665,PlayerzZone $2K Invitational Presented By GLG,Playoffs: Round of 16,315,4688,Lemonade Stand,Fenrir,2,0
1483,35917,2021-09-04 16:30:00,Patch 3.04,665,PlayerzZone $2K Invitational Presented By GLG,Playoffs: Round of 16,6170,6173,The Silk Road,Spot Up,1,2
1484,35260,2021-09-04 11:00:00,Patch 3.04,650,LVP Rising Series #3,Playoffs: Quarterfinals,2304,4527,Giants Gaming,SUPRMODE Gaming,2,0
1485,34627,2021-09-04 09:30:00,Patch 3.03,656,Yuvin Valorant Invitational Cup,Main Event: Semifinals,4829,6028,Team Valor,Team Cohesion,2,0
1487,34626,2021-09-04 05:30:00,Patch 3.03,656,Yuvin Valorant Invitational Cup,Main Event: Semifinals,6003,2917,Team XO,Enigma Gaming,2,0
1488,35478,2021-09-04 02:00:00,Patch 3.04,651,FGC Valorant Invitational,Main Event: Upper Bracket Semifinals,908,5443,Tales of Eastern,KONE,2,1
1489,34818,2021-09-03 10:00:00,Patch 3.04,616,ESA Open Fire All Stars,Playoffs: Grand Final,3261,397,Kafalar eSports,BBL Esports,1,3
1490,35477,2021-09-03 04:00:00,Patch 3.04,651,FGC Valorant Invitational,Play-In: Quarterfinals,1120,1837,EDward Gaming,Attacking Soul Esports,2,1
1491,35476,2021-09-03 02:00:00,Patch 3.04,651,FGC Valorant Invitational,Play-In: Quarterfinals,1211,4462,Totoro Gaming,NTER,2,0
1494,34816,2021-09-01 11:30:00,Patch 3.04,616,ESA Open Fire All Stars,Playoffs: Semifinals,397,4686,BBL Esports,Fire Flux Esports,3,1
1495,35452,2021-08-31 20:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Consolation Final,6144,1615,The Mafia,Knights,2,0
1496,35451,2021-08-31 17:00:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Semifinals,1615,4315,Knights,Squirtle Squad,1,2
1497,35450,2021-08-31 16:07:00,Patch 3.04,634,Knights Monthly Gauntlet: August,Playoffs: Semifinals,6144,470,The Mafia,Complexity,1,2
1498,34937,2021-08-31 15:15:00,Patch 3.04,650,LVP Rising Series #3,Group Stage: Decider (D),673,6139,Team Finest,19esports,1,0
1499,34936,2021-08-31 14:10:00,Patch 3.04,650,LVP Rising Series #3,Group Stage: Elimination (D),6139,1474,19esports,eSuba,1,0
